	AS1	AS2	AS3	AS4	BS1	BS2	BS3	BS4	BS5	DM1	DM2	FD1	FD2	FD3	FD4	FD5	FD6	FD7	FD8	FG1	FG2	FG3	FG4	FG5	FG6	RE1	RE2	RE3	RE4	RE5	RE6	RE7	RE8	RF1	RF2	RF3	RF4	LO1	LO2	LO3	LO4	LO5	LO6	LO7	RM1	RM2	RM3	RM4	RM5	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	CP1	CP2	CP3	BF1	BF2	BF3	BF4
1	0	0	0	3	3	0	0	0	0	3	0	0	3	2	0	0	0	0	0	0	0	3	3	0	0	0	3	0	0	0	0	0	0	3	0	3	0	0	1	0	2	3	3	0	3	0	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0	0	3
2	0	0	0	3	3	0	0	0	0	3	0	3	2	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	3	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
3	2	3	3	0	1	1	1	1	1	1	3	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	0	2	0	1	1	1	1	1	0	0	1	2	1	1	0	0	3	1
4	2	3	3	0	1	1	1	1	1	1	3	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	0	2	0	1	1	1	1	1	0	0	1	2	1	1	0	0	3	1
5	2	3	3	0	1	1	1	1	1	1	3	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	0	2	0	1	1	1	1	1	0	0	1	2	1	1	0	0	3	1
6	2	3	3	0	1	1	1	1	1	1	3	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	0	2	0	1	1	1	1	1	0	0	1	2	1	1	0	0	3	1
7	2	3	3	0	1	1	1	1	1	1	3	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	0	2	0	1	1	1	1	1	0	0	1	2	1	1	0	0	3	1
8	1	3	2	0	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	2	0	1	0	2	1	0	0	1	1	0	3	0	3	1	1	1	1	0	0	0	2	2	1	0	0	2	1
9	1	3	2	0	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	2	0	1	0	2	1	0	0	1	1	0	3	0	3	1	1	1	1	0	0	0	2	2	1	0	0	2	1
10	1	3	2	0	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	2	0	1	0	2	1	0	0	1	1	0	3	0	3	1	1	1	1	0	0	0	2	2	1	0	0	2	1
11	1	3	2	0	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	2	0	1	0	2	1	0	0	1	1	0	3	0	3	1	1	1	1	0	0	0	2	2	1	0	0	2	1
12	1	3	2	0	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	2	0	1	0	2	1	0	0	1	1	0	3	0	3	1	1	1	1	0	0	0	2	2	1	0	0	2	1
13	0	0	0	3	3	0	0	0	0	3	0	3	2	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	3	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
14	2	3	3	0	1	1	1	1	1	1	3	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	0	2	0	1	1	1	1	1	0	0	1	2	1	1	0	0	3	1
15	1	1	0	0	3	0	0	0	0	0	3	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	2	2	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
16	2	3	0	0	0	0	0	3	0	0	3	0	0	2	0	0	2	0	0	2	1	1	0	0	0	0	0	0	3	0	0	0	0	1	1	1	1	0	0	3	0	0	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	3	0
17	2	3	0	0	0	0	0	3	0	0	3	0	0	2	0	0	2	0	0	2	1	1	0	0	0	0	0	0	3	0	0	0	0	1	1	1	1	0	0	3	0	0	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	3	0
18	0	3	2	0	0	0	3	0	0	0	3	0	0	0	0	0	3	3	2	0	3	0	0	2	3	2	0	0	3	0	3	0	0	0	0	0	3	0	0	0	3	3	0	0	1	3	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	3	0
19	1	3	1	0	0	3	0	0	0	3	1	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
20	1	3	1	0	0	3	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
21	1	3	1	0	0	3	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
22	1	3	1	0	0	3	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
23	1	3	1	0	0	3	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
24	3	3	1	2	1	1	1	1	0	1	3	1	1	1	1	1	1	2	1	0	1	1	0	1	2	0	1	1	2	1	1	1	0	1	1	1	2	1	1	2	2	1	1	0	1	1	1	3	1	0	0	1	1	1	3	0	0	0	2	2	0	1	2	1
25	1	3	1	0	0	3	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
26	1	3	1	0	0	3	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
27	1	3	1	0	0	3	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
28	1	3	1	0	0	3	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
29	1	3	1	0	0	3	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
30	1	3	1	0	0	3	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	3	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3
31	3	3	3	0	0	0	3	0	0	0	3	3	1	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	1	2	0	0	3	2	1	0	0	3	3	0	0	0	0	3	2	0	0	0	0	0	3	1	0	0	0	3	0
