	Axis.1	Axis.2	Axis.3	Axis.4	Axis.5	Axis.6	Axis.7	Axis.8	Axis.9	Axis.10	Axis.11	Axis.12	Axis.13	Axis.14	Axis.15	Axis.16	Axis.17	Axis.18	Axis.19	Axis.20	Axis.21	Axis.22	Axis.23	Axis.24	Axis.25	Axis.26	Axis.27	Axis.28	Axis.29	Axis.30	Axis.31	Axis.32	Axis.33	Axis.34	Axis.35	Axis.36	Axis.37	Axis.38	Axis.39	Axis.40	Axis.41	Axis.42	Axis.43	Axis.44	Axis.45	Axis.46	Axis.47	Axis.48	Axis.49	Axis.50	Axis.51	Axis.52	Axis.53	Axis.54	Axis.55	Axis.56	Axis.57	Axis.58	Axis.59	Axis.60	Axis.61
DM2	-0.125400096	-0.561159706	-0.239880588	0.555598938	0.042299116	0.255392897	-0.14994862	0.238677839	0.138785583	0.149312905	-0.049245117	-0.088845951	0.077081362	0.116006104	0.08947428	-0.082186432	-0.070991937	0.027779225	-0.067869613	0.134404544	-0.006378973	-0.025803054	-0.017441094	0.011577928	0.028715093	0.029875684	0.032651322	0.03437101	-0.024689252	0.012608079	-0.041170187	-0.031972827	-0.060437259	-0.041913871	0.095506282	0.046617748	-0.011162885	-0.021793974	0.041173589	0.073854263	-0.014873863	0.012155957	0.011548586	-0.023747174	-0.037999675	-0.012650892	-0.001824089	0.004972755	0.01648739	0.007754307	0.041918311	0.027171779	-0.027720818	-0.032141877	0.012639944	0.012226899	0.010617396	0.031009548	-0.016312169	-0.019686862	-0.00373973
FD1	0.641174383	0.197011397	-0.186937639	0.073602477	-0.301558922	-0.222319041	-0.041202768	0.333124109	-0.181604587	0.187743346	-0.041076557	-0.06310899	0.164228948	-0.070687695	0.146416734	-0.078002448	-0.037254461	0.024469695	-0.10573516	-0.00867568	0.005876815	-0.12583827	0.08292547	0.100154391	-0.032751967	0.029416195	-0.004168816	-0.078675003	-0.027952582	0.018614286	0.158147147	0.009173788	-0.092525634	-0.03962442	0.040369928	0.017983403	0.058120807	0.00272863	0.055981835	0.010403294	-0.069010581	0.031034116	0.014427531	0.093715967	0.066809966	0.003071046	0.026008816	0.0070871	-0.019580256	-0.014712959	-0.030962014	0.034582684	0.01599055	0.017190318	-0.028011852	0.006494881	-0.006980024	-0.007508257	-0.004665205	-0.005750134	4.83E-05
FD2	0.549271211	0.358401242	-0.222914879	0.163677592	-0.211567857	-0.41424727	0.132289818	0.113121405	0.072008511	0.056810784	0.040443989	-0.142481741	0.055567592	-0.041535256	-0.223708376	0.129294716	0.008789114	0.062951205	0.067621409	-0.114746757	0.088363573	-0.114521522	-0.078307777	0.137342979	-0.107655671	0.090525376	0.017074243	0.0355808	0.039870974	-0.093511475	0.060582668	0.07712146	0.039381515	-0.132149024	0.00983496	-0.026511156	-0.003633283	0.007515463	-0.001611998	0.006512873	0.032245333	-0.011019357	0.046434137	-0.054600041	0.003962615	-0.028031388	0.022114216	-0.013892855	0.015763033	0.062723011	-0.033942477	-0.025456966	-0.014936263	-0.023118867	0.018287242	0.006433874	-0.017868462	0.019715517	-0.013041088	0.003244947	0.008952264
FD3	-0.248753852	0.398212015	-0.003082686	0.624302343	-0.06920893	-0.365591623	0.205464258	-0.121586364	0.059614471	0.079417094	0.070584652	-0.025039418	0.099826077	-0.061040689	-0.059036442	0.082048564	-0.063096925	-0.132372445	0.089789606	-0.1234412	0.170489787	0.021809055	-0.049523172	0.017289421	-0.0388097	0.066361334	-0.081204315	0.02033522	-0.003872296	-0.003533142	-0.109732163	-0.099815233	-0.091501326	0.073148063	-0.021401881	-0.040412744	0.001384935	0.058529112	-0.082685072	0.03579014	0.036310878	-0.006384478	0.031691173	0.035076822	0.03612397	-0.060164606	0.000139838	-0.010875155	0.05393258	-0.005075966	0.015725636	0.052884311	0.001532751	-0.003540774	-0.017873981	-0.022517457	-0.00110495	-0.003548466	0.006097433	-0.003887744	-0.005871528
FD4	0.744909628	0.245184008	-0.242853548	-0.007345311	-0.225569701	-0.085401396	-0.12074443	0.12537336	0.010137507	0.134314648	0.00604746	0.03950755	0.120822294	-0.127386319	0.12637843	0.014524382	0.149371992	0.036922189	-0.15963043	-0.008619299	-0.091097334	-0.016471606	0.08879198	0.041186725	-0.042420057	0.137435648	-0.061363716	-0.115902153	-0.07149561	-0.007280114	-0.125125825	-0.035062937	0.114579206	0.050579135	0.031293752	0.01590163	-0.075868755	0.050760704	0.079149423	-0.001919239	0.031801675	-0.051105331	-0.015560804	-0.010185258	-0.01828459	0.043647718	-0.019956423	-0.022946807	0.018240336	0.011832444	0.018231944	0.014562574	0.030275257	-0.046250563	-0.015402082	-0.000834053	-0.008513936	-0.007313223	0.010426935	0.015266374	0.002860505
FD5	-0.20960918	0.415039358	-0.195871996	0.401986259	0.173908797	-0.047604165	-0.026745385	-0.294908334	0.385748638	-0.012050861	-0.000766439	0.287869142	0.089578099	0.045030837	-0.108699821	-0.279906477	0.163957592	0.000912026	-0.089284145	-0.009105798	-0.046617807	0.16936314	0.126425467	0.016576971	0.00117418	0.010206461	-0.065507614	-0.007695026	-0.001410086	-0.051196999	-0.007566256	0.066323216	-0.038839041	-0.079784372	0.046313363	-0.052247301	-0.024800373	0.01317628	0.060082579	0.06402086	0.007622387	0.069621355	-0.037160568	0.050150342	0.004248405	-0.040019858	-0.05636151	-0.023000348	-0.00990613	0.005184032	0.009566592	-0.034854449	-0.013883518	0.018321423	-4.59E-05	-0.003587277	-0.025796658	-0.005182948	0.004048459	4.11E-05	0.000681338
FD6	-0.326557003	0.343591621	-0.308317387	0.170742965	0.297306888	-0.202951827	-0.168340806	-0.011790056	0.101707662	0.217714329	0.224794899	-0.209334814	-0.09439216	-0.42971776	0.110182161	-0.029495923	0.110915382	0.008527721	0.057794994	-0.004478633	-0.011510041	-0.053432205	-0.175687336	-0.113445487	0.175851042	0.021199545	-0.024857957	0.05340531	0.050469483	0.03938887	0.023616229	-0.028641713	-0.0518963	-0.066299311	-0.018561892	0.010592941	-0.039827705	-0.095518045	-0.001495741	0.002049097	-0.022709105	-0.055342945	-0.007345658	0.043655703	0.01124018	-0.01242056	-0.062462967	0.005301885	-0.003162288	-0.029655748	-0.024604849	-0.011549367	0.015594678	-0.034269756	0.012480466	0.009560317	0.01194902	0.002523847	0.001590774	0.009374577	0.006686322
FD7	-0.515655601	0.323793731	-0.349053238	-0.292190687	0.173574151	0.205596055	-0.263898487	-0.130392636	0.151997166	0.139984578	0.151449914	-0.047390604	0.133980023	-0.150305947	0.167504596	0.154100214	0.089680886	0.095589051	-0.000145471	-0.113479965	-0.050989174	0.014884875	0.018338551	-0.028270161	0.020817776	0.024256482	0.110672922	-0.069551261	-0.01935987	0.053299091	0.124951393	-0.041618069	0.049584357	0.04270058	-0.009559211	0.013891563	0.028344752	-0.03696098	0.04446402	0.055043369	0.065894367	0.027461958	-0.039096858	-0.030667643	-0.040934191	-0.034751122	0.049765379	-0.04877242	0.018043562	-0.008492065	-0.023212449	0.025956048	-0.01218777	0.015637235	0.012369738	-0.021330077	-0.012717258	0.012467568	0.00851311	-0.007391846	-0.008585356
FD8	-0.44578501	0.003198446	0.076083462	-0.266788736	0.266370169	0.619589256	-0.107815505	0.00527248	-0.193582611	0.201267529	0.178757858	-0.152129738	-0.005598024	-0.070512299	-0.137040224	-0.034093411	-0.039738371	0.009303928	0.075742659	-0.031171779	0.178607748	-0.101085962	0.074783273	0.089927545	-0.064127309	0.033709996	-0.045969697	0.033750463	0.039391106	0.000844829	-0.029508666	0.010894686	0.019714255	-0.075897856	0.021934156	-0.008767363	-0.000731215	0.072820687	0.006195422	0.010083073	-0.038385924	-0.028234072	-0.00751388	0.004280305	0.002734979	0.02978966	-0.002126603	0.040647671	-0.035774902	-0.030045492	0.001489609	-0.001382663	-0.027779679	-0.030896043	-0.019912991	-0.02819216	-0.035808181	0.015146728	0.02788029	-0.006091448	-0.01099398
FG1	0.631599912	0.089943082	-0.05817859	0.144064282	0.008257833	-0.255201644	0.175800027	0.407760264	0.109321441	-0.136151994	-0.030320527	-0.141778504	0.026105208	-0.25589612	-0.165482488	0.139831858	0.185948074	0.144022045	0.081658237	-0.062138215	0.109656592	-0.020193113	0.0104877	0.020567603	0.081202469	0.010052996	0.039885462	0.04779406	-0.084401762	-0.022692416	-0.041919196	-0.035734537	0.017112835	-0.00979084	0.110874196	-0.009096458	0.049682113	0.078819465	-0.003181333	-0.019831473	-0.040776748	0.038210341	-0.060090561	-0.050241165	-0.054820681	-0.033149722	-0.0135508	0.009177461	-0.023153652	-0.059737226	0.013389086	-0.012674531	0.002289743	0.034092244	0.004331509	0.001200751	0.024411426	-0.008084121	0.005126317	-0.001906978	-0.003709164
